,0
Shipping Cost,0.0008021333465307201
Product Name_TE,0.00039736281481714817
Shipping_to_Price,0.00021301466708725236
"Customer Location_London, UK",0.0001401033806408325
Stock Level,0.00010625208223769
"Customer Location_Dubai, UAE",5.557805340030697e-05
Discount,2.952822976372005e-05
Customer Location_Singapore,2.7610831137936386e-05
Tax Rate,2.551951353368942e-05
"Customer Location_Paris, France",2.3374355435423766e-05
"Customer Location_Los Angeles, USA",2.321768270214797e-05
Category_Home Appliances,1.0393373717132448e-05
"Customer Location_Toronto, Canada",8.171880180718461e-06
"Customer Location_Sydney, Australia",0.0
"Customer Location_Chicago, USA",0.0
Customer Gender_Male,0.0
"Customer Location_Cape Town, South Africa",0.0
"Customer Location_Tokyo, Japan",0.0
Category_Footwear,-6.659533267328044e-06
Seasonality_Yes,-1.0868275094422231e-05
"Customer Location_Phoenix, USA",-1.2791936721656683e-05
Customer Gender_Non-Binary,-1.3426681786254946e-05
"Customer Location_Mumbai, India",-1.996908928272312e-05
Category_Books,-2.0342458294919653e-05
"Customer Location_Houston, USA",-2.2684301631015204e-05
Shipping Method_Overnight,-2.5019753240052012e-05
Shipping Method_Standard,-3.0861491524092344e-05
Customer Age Group,-4.054749450315143e-05
Popularity Index,-4.065301891329476e-05
"Customer Location_New York, USA",-5.0432683743206755e-05
Category_Electronics,-5.4013354922410885e-05
Final Price,-0.00022843523836710845
Price,-0.0002531827128649855
