,0
Shipping_to_Price,0.008756147397700165
Price,0.0064180897076061335
Final Price,0.005106508425483857
Shipping Cost,0.0012040890535981673
Stock Level,0.0009727528131288299
Product Name_TE,0.000857927411010273
Customer Age Group,0.0003956958452810966
"Customer Location_Cape Town, South Africa",0.000321277014105803
"Customer Location_Dubai, UAE",0.0002170520996484182
Discount,0.00019184116391839366
"Customer Location_Los Angeles, USA",8.033482955815963e-05
Shipping Method_Overnight,7.238877427377944e-05
"Customer Location_Paris, France",4.739297615996563e-05
"Customer Location_Phoenix, USA",8.826234544390132e-06
Category_Electronics,-1.4740237700516801e-05
"Customer Location_Toronto, Canada",-2.1802854044672414e-05
Shipping Method_Standard,-3.3625316164309635e-05
Seasonality_Yes,-4.464131018022677e-05
"Customer Location_New York, USA",-5.681125753391747e-05
Popularity Index,-6.611400519447308e-05
"Customer Location_Sydney, Australia",-7.158535018030321e-05
Customer Gender_Non-Binary,-7.504392596211496e-05
Customer Gender_Male,-0.0001646625333141749
"Customer Location_Tokyo, Japan",-0.00018639674965053031
"Customer Location_Houston, USA",-0.00019020722061466878
Customer Location_Singapore,-0.00019040558646783446
Category_Books,-0.00020542523401245738
"Customer Location_Mumbai, India",-0.00021511581437314576
Category_Footwear,-0.00021759172658262216
"Customer Location_Chicago, USA",-0.0002887443771297793
Category_Home Appliances,-0.0003296388996340216
Tax Rate,-0.0004040911876193043
"Customer Location_London, UK",-0.0005409214518698136
